timestamp,cpu_percent,ram_percent,gpu_percent,vram_percent
2026-01-07 14:21:52.187620,0.0,86.1,4.0,4.541015625
2026-01-07 14:21:53.234061,71.7,86.0,4.0,4.541015625
2026-01-07 14:21:54.288088,67.7,85.9,4.0,4.541015625
2026-01-07 14:21:55.331388,68.4,86.0,4.0,4.541015625
2026-01-07 14:21:56.412512,71.6,86.2,4.0,4.541015625
2026-01-07 14:21:57.481177,68.1,85.9,8.0,4.541015625
2026-01-07 14:21:58.526961,74.6,86.2,8.0,4.541015625
2026-01-07 14:21:59.580133,71.2,86.1,8.0,4.541015625
2026-01-07 14:22:00.619055,74.2,85.9,8.0,4.541015625
2026-01-07 14:22:01.662397,69.9,85.9,8.0,4.541015625
2026-01-07 14:22:02.721717,73.9,86.1,4.0,4.541015625
2026-01-07 14:22:03.774168,76.7,86.0,7.0,4.541015625
2026-01-07 14:22:04.841711,78.4,86.4,4.0,4.541015625
2026-01-07 14:22:05.896170,77.1,86.4,5.0,4.541015625
2026-01-07 14:22:06.941179,76.1,86.5,5.0,4.541015625
2026-01-07 14:22:07.995241,76.7,86.6,5.0,4.541015625
2026-01-07 14:22:09.041897,75.4,86.8,4.0,4.541015625
2026-01-07 14:22:10.083571,77.1,86.8,4.0,4.541015625
2026-01-07 14:22:11.131965,78.8,86.9,0.0,4.541015625
2026-01-07 14:22:12.187125,77.3,87.3,4.0,4.541015625
2026-01-07 14:22:13.260529,80.6,87.6,0.0,4.541015625
2026-01-07 14:22:14.312022,76.3,87.7,0.0,4.541015625
2026-01-07 14:22:15.369263,74.7,88.1,10.0,4.541015625
2026-01-07 14:22:16.421081,80.6,87.6,4.0,4.541015625
2026-01-07 14:22:17.471612,77.8,88.0,5.0,4.541015625
2026-01-07 14:22:18.518593,79.7,88.2,7.0,4.541015625
2026-01-07 14:22:19.559389,78.0,88.7,5.0,4.541015625
2026-01-07 14:22:20.680912,80.5,88.8,10.0,4.541015625
2026-01-07 14:22:21.722978,73.4,88.7,0.0,4.541015625
2026-01-07 14:22:22.764030,78.3,88.8,5.0,4.541015625
2026-01-07 14:22:23.804700,80.3,89.0,2.0,4.541015625
2026-01-07 14:22:24.855577,72.6,89.0,8.0,4.541015625
2026-01-07 14:22:25.899292,80.1,89.0,9.0,4.541015625
2026-01-07 14:22:26.948674,75.5,89.3,8.0,4.541015625
2026-01-07 14:22:28.013850,75.0,89.4,5.0,4.541015625
2026-01-07 14:22:29.079762,75.6,89.5,0.0,4.541015625
2026-01-07 14:22:30.129935,78.8,89.6,6.0,4.541015625
2026-01-07 14:22:31.168849,78.2,89.7,0.0,4.541015625
2026-01-07 14:22:32.212299,77.0,89.8,0.0,4.541015625
2026-01-07 14:22:33.256949,73.2,89.8,0.0,4.541015625
2026-01-07 14:22:34.317279,74.7,89.8,0.0,4.541015625
2026-01-07 14:22:35.363220,74.8,89.9,5.0,4.541015625
