timestamp,fps
2026-01-06 19:59:00.579743,39.68
2026-01-06 19:59:01.624011,33.18
2026-01-06 19:59:02.693832,36.26
2026-01-06 19:59:03.763961,33.84
2026-01-06 19:59:04.821140,45.31
2026-01-06 19:59:05.875824,31.59
2026-01-06 19:59:07.008345,32.61
2026-01-06 19:59:08.056340,41.01
2026-01-06 19:59:09.109484,31.46
2026-01-06 19:59:10.167308,38.74
2026-01-06 19:59:11.225613,32.71
2026-01-06 19:59:12.282761,41.66
2026-01-06 19:59:13.341790,50.51
2026-01-06 19:59:14.397331,38.13
2026-01-06 19:59:15.464425,34.68
2026-01-06 19:59:16.521367,32.86
2026-01-06 19:59:17.581480,35.11
2026-01-06 19:59:18.630380,45.87
2026-01-06 19:59:19.691827,47.93
2026-01-06 19:59:20.738290,34.06
2026-01-06 19:59:21.797401,32.89
2026-01-06 19:59:22.881774,33.39
2026-01-06 19:59:23.938929,32.53
2026-01-06 19:59:24.998714,36.78
2026-01-06 19:59:26.056258,35.14
