timestamp,fps
2026-01-06 19:56:45.824908,89.37
2026-01-06 19:56:46.849366,77.98
2026-01-06 19:56:47.878744,87.40
2026-01-06 19:56:48.910337,77.81
2026-01-06 19:56:49.936481,84.89
2026-01-06 19:56:50.965593,75.48
2026-01-06 19:56:51.990776,80.51
2026-01-06 19:56:53.018340,103.36
2026-01-06 19:56:54.042516,78.45
2026-01-06 19:56:55.072146,108.98
2026-01-06 19:56:56.139251,75.34
2026-01-06 19:56:57.198450,59.95
2026-01-06 19:56:58.235347,35.45
2026-01-06 19:56:59.273704,23.67
2026-01-06 19:57:00.315849,44.14
2026-01-06 19:57:01.355568,29.58
2026-01-06 19:57:02.396459,29.07
2026-01-06 19:57:03.425562,70.83
2026-01-06 19:57:04.453779,74.66
2026-01-06 19:57:05.482912,74.99
2026-01-06 19:57:06.509418,62.78
2026-01-06 19:57:07.536356,63.94
2026-01-06 19:57:08.561894,111.72
2026-01-06 19:57:09.587106,111.04
2026-01-06 19:57:10.613391,117.05
2026-01-06 19:57:11.638079,112.69
2026-01-06 19:57:12.666679,112.69
2026-01-06 19:57:13.695432,112.69
2026-01-06 19:57:14.724860,112.69
2026-01-06 19:57:15.750744,77.66
2026-01-06 19:57:16.782935,74.98
2026-01-06 19:57:17.807861,73.43
2026-01-06 19:57:18.833996,64.31
2026-01-06 19:57:19.861473,56.31
2026-01-06 19:57:20.885352,88.44
2026-01-06 19:57:21.915658,84.84
2026-01-06 19:57:22.940572,76.88
2026-01-06 19:57:23.964973,78.17
