timestamp,fps
2026-01-06 20:07:54.904002,17.97
2026-01-06 20:07:55.964056,25.46
2026-01-06 20:07:57.026604,16.53
2026-01-06 20:07:58.086098,19.12
2026-01-06 20:07:59.140253,20.85
2026-01-06 20:08:00.197679,15.89
2026-01-06 20:08:01.256645,17.26
2026-01-06 20:08:02.318671,26.09
2026-01-06 20:08:03.370289,21.84
2026-01-06 20:08:04.433354,21.95
2026-01-06 20:08:05.502640,18.53
2026-01-06 20:08:06.554839,21.15
2026-01-06 20:08:07.613819,20.39
2026-01-06 20:08:08.676167,18.13
2026-01-06 20:08:09.729995,25.42
2026-01-06 20:08:10.789507,17.77
2026-01-06 20:08:11.853273,23.05
2026-01-06 20:08:12.909309,22.65
2026-01-06 20:08:13.966761,23.88
2026-01-06 20:08:15.034884,18.46
2026-01-06 20:08:16.111421,19.22
2026-01-06 20:08:17.175970,18.21
2026-01-06 20:08:18.251725,25.63
2026-01-06 20:08:19.313959,14.86
2026-01-06 20:08:20.383730,23.50
2026-01-06 20:08:21.433517,20.76
2026-01-06 20:08:22.487157,21.69
2026-01-06 20:08:23.553018,22.77
2026-01-06 20:08:24.616710,26.11
