timestamp,fps
2026-01-07 14:21:52.187620,47.48
2026-01-07 14:21:53.234061,61.07
2026-01-07 14:21:54.288088,58.08
2026-01-07 14:21:55.331388,48.51
2026-01-07 14:21:56.412512,42.75
2026-01-07 14:21:57.481177,42.07
2026-01-07 14:21:58.526961,52.71
2026-01-07 14:21:59.580133,43.59
2026-01-07 14:22:00.619055,63.90
2026-01-07 14:22:01.662397,55.09
2026-01-07 14:22:02.721717,37.61
2026-01-07 14:22:03.774168,41.12
2026-01-07 14:22:04.841711,37.61
2026-01-07 14:22:05.896170,18.09
2026-01-07 14:22:06.941179,28.90
2026-01-07 14:22:07.995241,43.89
2026-01-07 14:22:09.041897,37.25
2026-01-07 14:22:10.083571,52.73
2026-01-07 14:22:11.131965,34.14
2026-01-07 14:22:12.187125,57.89
2026-01-07 14:22:13.260529,39.87
2026-01-07 14:22:14.312022,37.40
2026-01-07 14:22:15.369263,38.77
2026-01-07 14:22:16.421081,42.95
2026-01-07 14:22:17.471612,46.23
2026-01-07 14:22:18.518593,27.92
2026-01-07 14:22:19.559389,31.44
2026-01-07 14:22:20.680912,28.76
2026-01-07 14:22:21.722978,34.91
2026-01-07 14:22:22.764030,26.53
2026-01-07 14:22:23.804700,29.05
2026-01-07 14:22:24.855577,43.40
2026-01-07 14:22:25.899292,32.77
2026-01-07 14:22:26.948674,43.04
2026-01-07 14:22:28.013850,30.54
2026-01-07 14:22:29.079762,40.23
2026-01-07 14:22:30.129935,46.21
2026-01-07 14:22:31.168849,33.35
2026-01-07 14:22:32.212299,40.42
2026-01-07 14:22:33.256949,65.12
2026-01-07 14:22:34.317279,31.73
2026-01-07 14:22:35.363220,36.00
2026-01-07 14:22:36.415570,60.93
2026-01-07 14:22:37.462222,41.17
2026-01-07 14:22:38.504272,56.04
2026-01-07 14:22:39.549045,63.19
2026-01-07 14:22:40.585646,73.12
2026-01-07 14:22:41.622884,45.19
2026-01-07 14:22:42.678478,57.51
2026-01-07 14:22:43.735105,61.38
2026-01-07 14:22:44.785403,49.19
2026-01-07 14:22:45.833007,60.62
2026-01-07 14:22:46.884086,37.99
2026-01-07 14:22:47.939358,44.52
2026-01-07 14:22:48.999167,33.82
2026-01-07 14:22:50.045011,49.35
2026-01-07 14:22:51.098970,40.03
2026-01-07 14:22:52.148582,50.35
2026-01-07 14:22:53.198340,43.12
2026-01-07 14:22:54.242320,37.14
2026-01-07 14:22:55.301711,37.49
2026-01-07 14:22:56.349167,37.30
2026-01-07 14:22:57.390509,44.97
2026-01-07 14:22:58.432076,67.61
2026-01-07 14:22:59.471811,43.75
2026-01-07 14:23:00.527347,47.10
2026-01-07 14:23:01.599014,35.83
2026-01-07 14:23:02.649622,54.21
2026-01-07 14:23:03.692583,63.61
2026-01-07 14:23:04.743152,39.10
2026-01-07 14:23:05.799090,34.97
2026-01-07 14:23:06.852431,25.25
2026-01-07 14:23:07.905473,38.48
2026-01-07 14:23:08.965966,32.99
2026-01-07 14:23:10.040268,28.24
2026-01-07 14:23:11.087595,45.05
2026-01-07 14:23:12.158802,35.03
2026-01-07 14:23:13.210636,43.44
2026-01-07 14:23:14.258576,24.42
2026-01-07 14:23:15.295748,56.59
2026-01-07 14:23:16.331695,44.90
2026-01-07 14:23:17.382109,43.11
