timestamp,cpu_percent,ram_percent,gpu_percent,vram_percent
2026-01-06 20:07:54.904002,0.0,75.8,22.0,5.192057291666666
2026-01-06 20:07:55.964056,87.6,75.7,23.0,5.192057291666666
2026-01-06 20:07:57.026604,89.2,75.8,19.0,5.192057291666666
2026-01-06 20:07:58.086098,86.8,75.6,19.0,5.192057291666666
2026-01-06 20:07:59.140253,90.0,76.0,18.0,5.192057291666666
2026-01-06 20:08:00.197679,85.4,75.8,23.0,5.192057291666666
2026-01-06 20:08:01.256645,89.1,76.0,14.0,5.192057291666666
2026-01-06 20:08:02.318671,87.9,75.9,14.0,5.192057291666666
2026-01-06 20:08:03.370289,89.8,75.9,17.0,5.192057291666666
2026-01-06 20:08:04.433354,87.4,75.6,9.0,5.192057291666666
2026-01-06 20:08:05.502640,88.5,76.1,12.0,5.192057291666666
2026-01-06 20:08:06.554839,88.4,76.0,11.0,5.192057291666666
2026-01-06 20:08:07.613819,86.3,76.1,21.0,5.192057291666666
2026-01-06 20:08:08.676167,87.3,75.9,17.0,5.192057291666666
2026-01-06 20:08:09.729995,87.8,76.1,16.0,5.192057291666666
2026-01-06 20:08:10.789507,89.0,75.9,19.0,5.192057291666666
2026-01-06 20:08:11.853273,88.7,76.1,15.0,5.192057291666666
2026-01-06 20:08:12.909309,86.1,76.1,21.0,5.192057291666666
2026-01-06 20:08:13.966761,89.2,75.9,18.0,5.192057291666666
2026-01-06 20:08:15.034884,86.4,76.0,19.0,5.192057291666666
2026-01-06 20:08:16.111421,87.5,76.1,16.0,5.192057291666666
2026-01-06 20:08:17.175970,86.5,76.0,20.0,5.192057291666666
2026-01-06 20:08:18.251725,88.7,76.0,21.0,5.192057291666666
2026-01-06 20:08:19.313959,88.0,76.3,17.0,5.192057291666666
2026-01-06 20:08:20.383730,89.0,76.3,20.0,5.192057291666666
2026-01-06 20:08:21.433517,88.1,76.2,24.0,5.192057291666666
2026-01-06 20:08:22.487157,87.4,76.2,19.0,5.192057291666666
2026-01-06 20:08:23.553018,88.9,76.0,22.0,5.192057291666666
2026-01-06 20:08:24.616710,90.0,76.2,20.0,5.192057291666666
